Period,Decile,Gender,Agegroup,Life_Expectancy
2011-2013,9,Female,40-44   ,45.6
2011-2013,9,Female,45-49   ,40.74
2011-2013,9,Female,50-54   ,35.95
2011-2013,9,Female,55-59   ,31.24
2011-2013,9,Female,60-64   ,26.65
2011-2013,9,Female,65-69   ,22.18
2011-2013,9,Female,70-74   ,17.9
2011-2013,9,Female,75-79   ,13.87
2011-2013,9,Female,80-84   ,10.24
2011-2013,9,Female,85-89   ,7.21
2011-2013,9,Female,90+     ,4.99
2011-2013,10,Male,<1      ,82.92
2011-2013,10,Male,1-4,82.17
2011-2013,10,Male,5-9,78.2
2011-2013,10,Male,10-14,73.22
2011-2013,10,Male,15-19   ,68.24
2011-2013,10,Male,20-24   ,63.32
2011-2013,10,Male,25-29   ,58.44
2011-2013,10,Male,30-34   ,53.55
2011-2013,10,Male,35-39   ,48.66
2011-2013,10,Male,40-44   ,43.8
2011-2013,10,Male,45-49   ,38.95
2011-2013,10,Male,50-54   ,34.16
2011-2013,10,Male,55-59   ,29.48
2011-2013,10,Male,60-64   ,24.94
2011-2013,10,Male,65-69   ,20.58
2011-2013,10,Male,70-74   ,16.44
2011-2013,10,Male,75-79   ,12.68
2011-2013,10,Male,80-84   ,9.33
2011-2013,10,Male,85-89   ,6.6
2011-2013,10,Male,90+     ,4.64
2011-2013,10,Female,<1      ,85.89
2011-2013,10,Female,1-4,85.11
2011-2013,10,Female,5-9,81.14
2011-2013,10,Female,10-14,76.16
2011-2013,10,Female,15-19   ,71.18
2011-2013,10,Female,20-24   ,66.22
2011-2013,10,Female,25-29   ,61.27
2011-2013,10,Female,30-34   ,56.34
2011-2013,10,Female,35-39   ,51.43
2011-2013,10,Female,40-44   ,46.52
2011-2013,10,Female,45-49   ,41.65
2011-2013,10,Female,50-54   ,36.83
2011-2013,10,Female,55-59   ,32.09
2011-2013,10,Female,60-64   ,27.44
2011-2013,10,Female,65-69   ,22.94
2011-2013,10,Female,70-74   ,18.59
